Station,Today Date,Data Date,Rainfall
KININDIA550,01:23:2026,01:22:2026,0.0
KININDIA550,01:24:2026,01:23:2026,0.0
KININDIA550,01:25:2026,01:24:2026,0.0
KININDIA550,01:26:2026,01:25:2026,0.0
KININDIA550,01:27:2026,01:26:2026,0.0
KININDIA550,01:28:2026,01:27:2026,0.0
KININDIA550,01:29:2026,01:28:2026,0.0
KININDIA550,01:30:2026,01:29:2026,0.0
KININDIA550,01:31:2026,01:30:2026,0.0
KININDIA550,02:01:2026,01:31:2026,0.0
KININDIA550,02:02:2026,02:01:2026,0.01
KININDIA550,02:03:2026,02:02:2026,0.0
KININDIA550,02:04:2026,02:03:2026,0.0
KININDIA550,02:05:2026,02:04:2026,0.0
KININDIA550,02:06:2026,02:05:2026,0.0
